API,Description,Example
"tf.math.erf(
    x, name=None
)
","[[None, '\n'], ['Computes the ', 'Gauss error function', ' of ', 'x', ' element-wise. In statistics, for non-negative values of \\(x\\), the error function has the following interpretation: for a random variable \\(Y\\) that is normally distributed with mean 0 and variance \\(1/\\sqrt{2}\\), \\(erf(x)\\) is the probability that \\(Y\\) falls in the range \\([−x, x]\\).']]","tf.math.erf([[1.0, 2.0, 3.0], [0.0, -1.0, -2.0]])
<tf.Tensor: shape=(2, 3), dtype=float32, numpy=
array([[ 0.8427007,  0.9953223,  0.999978 ],
       [ 0.       , -0.8427007, -0.9953223]], dtype=float32)>"
"tf.math.erfc(
    x, name=None
)
","[['Computes the complementary error function of ', 'x', ' element-wise.']]",[]
"tf.math.erfcinv(
    x, name=None
)
",[],"tf.math.erfcinv([0., 0.2, 1., 1.5, 2.])
<tf.Tensor: shape=(5,), dtype=float32, numpy=
array([       inf,  0.9061935, -0.       , -0.4769363,       -inf],
      dtype=float32)>"
"tf.math.erfinv(
    x, name=None
)
",[],[]
"tf.math.exp(
    x, name=None
)
","[[None, '\n']]","x = tf.constant(2.0)
tf.math.exp(x)
<tf.Tensor: shape=(), dtype=float32, numpy=7.389056>"
"tf.math.expm1(
    x, name=None
)
","[['Computes ', 'exp(x) - 1', ' element-wise.']]","  x = tf.constant(2.0)
  tf.math.expm1(x) ==> 6.389056

  x = tf.constant([2.0, 8.0])
  tf.math.expm1(x) ==> array([6.389056, 2979.958], dtype=float32)

  x = tf.constant(1 + 1j)
  tf.math.expm1(x) ==> (0.46869393991588515+2.2873552871788423j)
"
"tf.math.floor(
    x, name=None
)
",[],"x = tf.constant([1.3324, -1.5, 5.555, -2.532, 0.99, float(""inf"")])
tf.floor(x).numpy()
array([ 1., -2.,  5., -3.,  0., inf], dtype=float32)"
"tf.math.floordiv(
    x, y, name=None
)
","[['Divides ', 'x / y', ' elementwise, rounding toward the most negative integer.']]",[]
"tf.math.floormod(
    x, y, name=None
)
",[],[]
"tf.math.greater(
    x, y, name=None
)
",[],"x = tf.constant([5, 4, 6])
y = tf.constant([5, 2, 5])
tf.math.greater(x, y) ==> [False, True, True]

x = tf.constant([5, 4, 6])
y = tf.constant([5])
tf.math.greater(x, y) ==> [False, False, True]
"
"tf.math.greater_equal(
    x, y, name=None
)
",[],"x = tf.constant([5, 4, 6, 7])
y = tf.constant([5, 2, 5, 10])
tf.math.greater_equal(x, y) ==> [True, True, True, False]

x = tf.constant([5, 4, 6, 7])
y = tf.constant([5])
tf.math.greater_equal(x, y) ==> [True, False, True, True]
"
"tf.math.igamma(
    a, x, name=None
)
","[[None, '\n'], ['Compute the lower regularized incomplete Gamma function ', 'P(a, x)', '.']]",[]
"tf.math.igammac(
    a, x, name=None
)
","[[None, '\n'], ['Compute the upper regularized incomplete Gamma function ', 'Q(a, x)', '.']]",[]
"tf.math.imag(
    input, name=None
)
",[],"x = tf.constant([-2.25 + 4.75j, 3.25 + 5.75j])
tf.math.imag(x)  # [4.75, 5.75]
"
"tf.compat.v1.math.in_top_k(
    predictions, targets, k, name=None
)
","[[None, '\n'], ['Says whether the targets are in the top ', 'K', ' predictions.']]",[]
"tf.math.invert_permutation(
    x, name=None
)
",[],"# tensor `x` is [3, 4, 0, 2, 1]
invert_permutation(x) ==> [2, 4, 3, 0, 1]
"
"tf.math.is_finite(
    x, name=None
)
",[],"x = tf.constant([5.0, 4.8, 6.8, np.inf, np.nan])
tf.math.is_finite(x) ==> [True, True, True, False, False]
"
"tf.math.is_inf(
    x, name=None
)
",[],"x = tf.constant([5.0, np.inf, 6.8, np.inf])
tf.math.is_inf(x) ==> [False, True, False, True]
"
"tf.math.is_nan(
    x, name=None
)
",[],"x = tf.constant([5.0, np.nan, 6.8, np.nan, np.inf])
tf.math.is_nan(x) ==> [False, True, False, True, False]
"
"tf.math.is_non_decreasing(
    x, name=None
)
","[['Returns ', 'True', ' if ', 'x', ' is non-decreasing.']]","x1 = tf.constant([1.0, 1.0, 3.0])
tf.math.is_non_decreasing(x1)
<tf.Tensor: shape=(), dtype=bool, numpy=True>
x2 = tf.constant([3.0, 1.0, 2.0])
tf.math.is_non_decreasing(x2)
<tf.Tensor: shape=(), dtype=bool, numpy=False>"
"tf.math.is_strictly_increasing(
    x, name=None
)
","[['Returns ', 'True', ' if ', 'x', ' is strictly increasing.']]","x1 = tf.constant([1.0, 2.0, 3.0])
tf.math.is_strictly_increasing(x1)
<tf.Tensor: shape=(), dtype=bool, numpy=True>
x2 = tf.constant([3.0, 1.0, 2.0])
tf.math.is_strictly_increasing(x2)
<tf.Tensor: shape=(), dtype=bool, numpy=False>"
"tf.math.l2_normalize(
    x, axis=None, epsilon=1e-12, name=None, dim=None
)
","[['Normalizes along dimension ', 'axis', ' using an L2 norm. (deprecated arguments)']]","output = x / sqrt(max(sum(x**2), epsilon))
"
"tf.math.lbeta(
    x, name=None
)
","[[None, '\n']]",[]
"tf.math.less(
    x, y, name=None
)
",[],"x = tf.constant([5, 4, 6])
y = tf.constant([5])
tf.math.less(x, y) ==> [False, True, False]

x = tf.constant([5, 4, 6])
y = tf.constant([5, 6, 7])
tf.math.less(x, y) ==> [False, True, True]
"
"tf.math.less_equal(
    x, y, name=None
)
",[],"x = tf.constant([5, 4, 6])
y = tf.constant([5])
tf.math.less_equal(x, y) ==> [True, True, False]

x = tf.constant([5, 4, 6])
y = tf.constant([5, 6, 6])
tf.math.less_equal(x, y) ==> [True, True, True]
"
"tf.math.lgamma(
    x, name=None
)
","[['Computes the log of the absolute value of ', 'Gamma(x)', ' element-wise.']]","x = tf.constant([0, 0.5, 1, 4.5, -4, -5.6])
tf.math.lgamma(x) ==> [inf, 0.5723649, 0., 2.4537368, inf, -4.6477685]
"
"tf.math.log(
    x, name=None
)
","[[None, '\n']]","x = tf.constant([0, 0.5, 1, 5])
tf.math.log(x)
<tf.Tensor: shape=(4,), dtype=float32, numpy=array([      -inf, -0.6931472,  0.       ,  1.609438 ], dtype=float32)>"
"tf.math.log1p(
    x, name=None
)
","[[None, '\n']]","x = tf.constant([0, 0.5, 1, 5])
tf.math.log1p(x)
<tf.Tensor: shape=(4,), dtype=float32, numpy=array([0.       , 0.4054651, 0.6931472, 1.7917595], dtype=float32)>"
"tf.math.log_sigmoid(
    x, name=None
)
","[['Computes log sigmoid of ', 'x', ' element-wise.']]","x = tf.constant([0.0, 1.0, 50.0, 100.0])
tf.math.log_sigmoid(x)
<tf.Tensor: shape=(4,), dtype=float32, numpy=
array([-6.9314718e-01, -3.1326169e-01, -1.9287499e-22, -0.0000000e+00],
      dtype=float32)>"
"tf.compat.v1.math.log_softmax(
    logits, axis=None, name=None, dim=None
)
",[],"logsoftmax = logits - log(reduce_sum(exp(logits), axis))
"
"tf.math.logical_and(
    x, y, name=None
)
",[],">>> a = tf.constant([True])
>>> b = tf.constant([False])
>>> tf.math.logical_and(a, b)
<tf.Tensor: shape=(1,), dtype=bool, numpy=array([False])>
>>> a & b
<tf.Tensor: shape=(1,), dtype=bool, numpy=array([False])>
"
"tf.math.logical_not(
    x, name=None
)
","[['Returns the truth value of ', 'NOT x', ' element-wise.']]","tf.math.logical_not(tf.constant([True, False]))
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([False,  True])>"
"tf.math.logical_or(
    x, y, name=None
)
",[],">>> a = tf.constant([True])
>>> b = tf.constant([False])
>>> tf.math.logical_or(a, b)
<tf.Tensor: shape=(1,), dtype=bool, numpy=array([ True])>
>>> a | b
<tf.Tensor: shape=(1,), dtype=bool, numpy=array([ True])>
"
"tf.math.logical_xor(
    x, y, name='LogicalXor'
)
",[],"a = tf.constant([True])
b = tf.constant([False])
tf.math.logical_xor(a, b)
<tf.Tensor: shape=(1,), dtype=bool, numpy=array([ True])>"
"tf.math.maximum(
    x, y, name=None
)
",[],"x = tf.constant([0., 0., 0., 0.])
y = tf.constant([-2., 0., 2., 5.])
tf.math.maximum(x, y)
<tf.Tensor: shape=(4,), dtype=float32, numpy=array([0., 0., 2., 5.], dtype=float32)>"
"tf.math.minimum(
    x, y, name=None
)
",[],"x = tf.constant([0., 0., 0., 0.])
y = tf.constant([-5., -2., 0., 3.])
tf.math.minimum(x, y)
<tf.Tensor: shape=(4,), dtype=float32, numpy=array([-5., -2., 0., 0.], dtype=float32)>"
"tf.math.floormod(
    x, y, name=None
)
",[],[]
"tf.math.multiply(
    x, y, name=None
)
",[],"x = tf.constant(([1, 2, 3, 4]))
tf.math.multiply(x, x)
<tf.Tensor: shape=(4,), dtype=..., numpy=array([ 1,  4,  9, 16], dtype=int32)>"
"tf.math.multiply_no_nan(
    x, y, name=None
)
",[],[]
"tf.math.ndtri(
    x, name=None
)
",[],[]
"tf.math.negative(
    x, name=None
)
","[[None, '\n']]",[]
"tf.math.nextafter(
    x1, x2, name=None
)
","[['Returns the next representable value of ', 'x1', ' in the direction of ', 'x2', ', element-wise.']]",[]
"tf.math.not_equal(
    x, y, name=None
)
",[],"x = tf.constant([2, 4])
y = tf.constant(2)
tf.math.not_equal(x, y)
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([False,  True])>"
"tf.math.polygamma(
    a, x, name=None
)
","[[None, '\n']]",[]
"tf.math.polyval(
    coeffs, x, name=None
)
",[],"p(x) = coeffs[n-1] + x * (coeffs[n-2] + ... + x * (coeffs[1] + x * coeffs[0]))
"
"tf.math.pow(
    x, y, name=None
)
","[[None, '\n']]","x = tf.constant([[2, 2], [3, 3]])
y = tf.constant([[8, 16], [2, 3]])
tf.pow(x, y)  # [[256, 65536], [9, 27]]
"
"tf.math.real(
    input, name=None
)
",[],"x = tf.constant([-2.25 + 4.75j, 3.25 + 5.75j])
tf.math.real(x)  # [-2.25, 3.25]
"
"tf.math.reciprocal(
    x, name=None
)
","[[None, '\n']]",[]
"tf.math.reciprocal_no_nan(
    x, name=None
)
",[],"x = tf.constant([2.0, 0.5, 0, 1], dtype=tf.float32)
tf.math.reciprocal_no_nan(x)  # [ 0.5, 2, 0.0, 1.0 ]
"
"tf.compat.v1.reduce_all(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
","[['Computes ', 'tf.math.logical_and', ' of elements across dimensions of a tensor. (deprecated arguments)']]",">>> x = tf.constant([[True,  True], [False, False]])
>>> tf.math.reduce_all(x)
<tf.Tensor: shape=(), dtype=bool, numpy=False>
>>> tf.math.reduce_all(x, 0)
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([False, False])>
>>> tf.math.reduce_all(x, 1)
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([ True, False])>
"
"tf.compat.v1.reduce_any(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
","[['Computes ', 'tf.math.logical_or', ' of elements across dimensions of a tensor. (deprecated arguments)']]",">>> x = tf.constant([[True,  True], [False, False]])
>>> tf.reduce_any(x)
<tf.Tensor: shape=(), dtype=bool, numpy=True>
>>> tf.reduce_any(x, 0)
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([ True,  True])>
>>> tf.reduce_any(x, 1)
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([ True, False])>
"
"tf.math.reduce_euclidean_norm(
    input_tensor, axis=None, keepdims=False, name=None
)
",[],"x = tf.constant([[1, 2, 3], [1, 1, 1]]) # x.dtype is tf.int32
tf.math.reduce_euclidean_norm(x)  # returns 4 as dtype is tf.int32
y = tf.constant([[1, 2, 3], [1, 1, 1]], dtype = tf.float32)
tf.math.reduce_euclidean_norm(y)  # returns 4.1231055 which is sqrt(17)
tf.math.reduce_euclidean_norm(y, 0)  # [sqrt(2), sqrt(5), sqrt(10)]
tf.math.reduce_euclidean_norm(y, 1)  # [sqrt(14), sqrt(3)]
tf.math.reduce_euclidean_norm(y, 1, keepdims=True)  # [[sqrt(14)], [sqrt(3)]]
tf.math.reduce_euclidean_norm(y, [0, 1])  # sqrt(17)
"
"tf.compat.v1.reduce_logsumexp(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
",[],"x = tf.constant([[0., 0., 0.], [0., 0., 0.]])
tf.reduce_logsumexp(x)  # log(6)
tf.reduce_logsumexp(x, 0)  # [log(2), log(2), log(2)]
tf.reduce_logsumexp(x, 1)  # [log(3), log(3)]
tf.reduce_logsumexp(x, 1, keepdims=True)  # [[log(3)], [log(3)]]
tf.reduce_logsumexp(x, [0, 1])  # log(6)
"
"tf.compat.v1.reduce_max(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
","[['Computes ', 'tf.math.maximum', ' of elements across dimensions of a tensor. (deprecated arguments)']]",">>> x = tf.constant([5, 1, 2, 4])
>>> tf.reduce_max(x)
<tf.Tensor: shape=(), dtype=int32, numpy=5>
>>> x = tf.constant([-5, -1, -2, -4])
>>> tf.reduce_max(x)
<tf.Tensor: shape=(), dtype=int32, numpy=-1>
>>> x = tf.constant([4, float('nan')])
>>> tf.reduce_max(x)
<tf.Tensor: shape=(), dtype=float32, numpy=nan>
>>> x = tf.constant([float('nan'), float('nan')])
>>> tf.reduce_max(x)
<tf.Tensor: shape=(), dtype=float32, numpy=nan>
>>> x = tf.constant([float('-inf'), float('inf')])
>>> tf.reduce_max(x)
<tf.Tensor: shape=(), dtype=float32, numpy=inf>
"
"tf.compat.v1.reduce_mean(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
",[],"x = tf.constant([[1., 1.], [2., 2.]])
tf.reduce_mean(x)
<tf.Tensor: shape=(), dtype=float32, numpy=1.5>
tf.reduce_mean(x, 0)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([1.5, 1.5], dtype=float32)>
tf.reduce_mean(x, 1)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([1., 2.], dtype=float32)>"
"tf.compat.v1.reduce_min(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
","[['Computes the ', 'tf.math.minimum', ' of elements across dimensions of a tensor. (deprecated arguments)']]",">>> x = tf.constant([5, 1, 2, 4])
>>> tf.reduce_min(x)
<tf.Tensor: shape=(), dtype=int32, numpy=1>
>>> x = tf.constant([-5, -1, -2, -4])
>>> tf.reduce_min(x)
<tf.Tensor: shape=(), dtype=int32, numpy=-5>
>>> x = tf.constant([4, float('nan')])
>>> tf.reduce_min(x)
<tf.Tensor: shape=(), dtype=float32, numpy=nan>
>>> x = tf.constant([float('nan'), float('nan')])
>>> tf.reduce_min(x)
<tf.Tensor: shape=(), dtype=float32, numpy=nan>
>>> x = tf.constant([float('-inf'), float('inf')])
>>> tf.reduce_min(x)
<tf.Tensor: shape=(), dtype=float32, numpy=-inf>
"
"tf.compat.v1.reduce_prod(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
","[['Computes ', 'tf.math.multiply', ' of elements across dimensions of a tensor. (deprecated arguments)']]",">>> x = tf.constant([[1., 2.], [3., 4.]])
>>> tf.math.reduce_prod(x)
<tf.Tensor: shape=(), dtype=float32, numpy=24.>
>>> tf.math.reduce_prod(x, 0)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([3., 8.], dtype=float32)>
>>> tf.math.reduce_prod(x, 1)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([2., 12.],
dtype=float32)>
"
"tf.math.reduce_std(
    input_tensor, axis=None, keepdims=False, name=None
)
",[],"x = tf.constant([[1., 2.], [3., 4.]])
tf.math.reduce_std(x)
<tf.Tensor: shape=(), dtype=float32, numpy=1.118034>
tf.math.reduce_std(x, 0)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([1., 1.], dtype=float32)>
tf.math.reduce_std(x, 1)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([0.5, 0.5], dtype=float32)>"
"tf.compat.v1.reduce_sum(
    input_tensor,
    axis=None,
    keepdims=None,
    name=None,
    reduction_indices=None,
    keep_dims=None
)
",[],">>> # x has a shape of (2, 3) (two rows and three columns):
>>> x = tf.constant([[1, 1, 1], [1, 1, 1]])
>>> x.numpy()
array([[1, 1, 1],
       [1, 1, 1]], dtype=int32)
>>> # sum all the elements
>>> # 1 + 1 + 1 + 1 + 1+ 1 = 6
>>> tf.reduce_sum(x).numpy()
6
>>> # reduce along the first dimension
>>> # the result is [1, 1, 1] + [1, 1, 1] = [2, 2, 2]
>>> tf.reduce_sum(x, 0).numpy()
array([2, 2, 2], dtype=int32)
>>> # reduce along the second dimension
>>> # the result is [1, 1] + [1, 1] + [1, 1] = [3, 3]
>>> tf.reduce_sum(x, 1).numpy()
array([3, 3], dtype=int32)
>>> # keep the original dimensions
>>> tf.reduce_sum(x, 1, keepdims=True).numpy()
array([[3],
       [3]], dtype=int32)
>>> # reduce along both dimensions
>>> # the result is 1 + 1 + 1 + 1 + 1 + 1 = 6
>>> # or, equivalently, reduce along rows, then reduce the resultant array
>>> # [1, 1, 1] + [1, 1, 1] = [2, 2, 2]
>>> # 2 + 2 + 2 = 6
>>> tf.reduce_sum(x, [0, 1]).numpy()
6
"
"tf.math.reduce_variance(
    input_tensor, axis=None, keepdims=False, name=None
)
",[],"x = tf.constant([[1., 2.], [3., 4.]])
tf.math.reduce_variance(x)
<tf.Tensor: shape=(), dtype=float32, numpy=1.25>
tf.math.reduce_variance(x, 0)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([1., 1.], ...)>
tf.math.reduce_variance(x, 1)
<tf.Tensor: shape=(2,), dtype=float32, numpy=array([0.25, 0.25], ...)>"
"tf.math.rint(
    x, name=None
)
",[],"rint(-1.5) ==> -2.0
rint(0.5000001) ==> 1.0
rint([-1.7, -1.5, -0.2, 0.2, 1.5, 1.7, 2.0]) ==> [-2., -2., -0., 0., 2., 2., 2.]
"
"tf.math.round(
    x, name=None
)
",[],"x = tf.constant([0.9, 2.5, 2.3, 1.5, -4.5])
tf.round(x)  # [ 1.0, 2.0, 2.0, 2.0, -4.0 ]
"
"tf.math.rsqrt(
    x, name=None
)
",[],"x = tf.constant([2., 0., -2.])
tf.math.rsqrt(x)
<tf.Tensor: shape=(3,), dtype=float32,
numpy=array([0.707, inf, nan], dtype=float32)>"
"tf.compat.v1.scalar_mul(
    scalar, x, name=None
)
","[['Multiplies a scalar times a ', 'Tensor', ' or ', 'IndexedSlices', ' object.']]","x = tf.reshape(tf.range(30, dtype=tf.float32), [10, 3])
with tf.GradientTape() as g:
  g.watch(x)
  y = tf.gather(x, [1, 2])  # IndexedSlices
  z = tf.math.scalar_mul(10.0, y)"
"tf.math.segment_max(
    data, segment_ids, name=None
)
","[[None, '\n']]","c = tf.constant([[1,2,3,4], [4, 3, 2, 1], [5,6,7,8]])
tf.math.segment_max(c, tf.constant([0, 0, 1])).numpy()
array([[4, 3, 3, 4],
       [5, 6, 7, 8]], dtype=int32)"
"tf.math.segment_mean(
    data, segment_ids, name=None
)
","[[None, '\n']]","c = tf.constant([[1.0,2,3,4], [4, 3, 2, 1], [5,6,7,8]])
tf.math.segment_mean(c, tf.constant([0, 0, 1])).numpy()
array([[2.5, 2.5, 2.5, 2.5],
       [5., 6., 7., 8.]], dtype=float32)"
"tf.math.segment_min(
    data, segment_ids, name=None
)
","[[None, '\n']]","c = tf.constant([[1,2,3,4], [4, 3, 2, 1], [5,6,7,8]])
tf.math.segment_min(c, tf.constant([0, 0, 1])).numpy()
array([[1, 2, 2, 1],
       [5, 6, 7, 8]], dtype=int32)"
"tf.math.segment_prod(
    data, segment_ids, name=None
)
","[[None, '\n']]","c = tf.constant([[1,2,3,4], [4, 3, 2, 1], [5,6,7,8]])
tf.math.segment_prod(c, tf.constant([0, 0, 1])).numpy()
array([[4, 6, 6, 4],
       [5, 6, 7, 8]], dtype=int32)"
"tf.math.segment_sum(
    data, segment_ids, name=None
)
","[[None, '\n']]","c = tf.constant([[1,2,3,4], [4, 3, 2, 1], [5,6,7,8]])
tf.math.segment_sum(c, tf.constant([0, 0, 1])).numpy()
array([[5, 5, 5, 5],
       [5, 6, 7, 8]], dtype=int32)"
"tf.math.sigmoid(
    x, name=None
)
","[[None, '\n'], ['Computes sigmoid of ', 'x', ' element-wise.']]","x = tf.constant([0.0, 1.0, 50.0, 100.0])
tf.math.sigmoid(x)
<tf.Tensor: shape=(4,), dtype=float32,
numpy=array([0.5, 0.7310586, 1.0, 1.0], dtype=float32)>"
"tf.math.sign(
    x, name=None
)
",[],"# real number
tf.math.sign([0., 2., -3.])
<tf.Tensor: shape=(3,), dtype=float32,
numpy=array([ 0.,  1., -1.], dtype=float32)>"
"tf.math.sin(
    x, name=None
)
",[],"  x = tf.constant([-float(""inf""), -9, -0.5, 1, 1.2, 200, 10, float(""inf"")])
  tf.math.sin(x) ==> [nan -0.4121185 -0.47942555 0.84147096 0.9320391 -0.87329733 -0.54402107 nan]
"
"tf.math.sinh(
    x, name=None
)
",[],"  x = tf.constant([-float(""inf""), -9, -0.5, 1, 1.2, 2, 10, float(""inf"")])
  tf.math.sinh(x) ==> [-inf -4.0515420e+03 -5.2109528e-01 1.1752012e+00 1.5094614e+00 3.6268604e+00 1.1013232e+04 inf]
"
"tf.math.sobol_sample(
    dim,
    num_results,
    skip=0,
    dtype=tf.dtypes.float32,
    name=None
)
",[],[]
"tf.compat.v1.math.softmax(
    logits, axis=None, name=None, dim=None
)
",[],"softmax = tf.exp(logits) / tf.reduce_sum(tf.exp(logits), axis, keepdims=True)
"
"tf.math.softplus(
    features, name=None
)
","[['Computes elementwise softplus: ', 'softplus(x) = log(exp(x) + 1)', '.']]","import tensorflow as tf
tf.math.softplus(tf.range(0, 2, dtype=tf.float32)).numpy()
array([0.6931472, 1.3132616], dtype=float32)"
"tf.nn.softsign(
    features, name=None
)
","[['Computes softsign: ', 'features / (abs(features) + 1)', '.']]",[]
"tf.math.bessel_i0(
    x, name=None
)
","[['Computes the Bessel i0 function of ', 'x', ' element-wise.']]","tf.math.special.bessel_i0([-1., -0.5, 0.5, 1.]).numpy()
array([1.26606588, 1.06348337, 1.06348337, 1.26606588], dtype=float32)"
