"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
mxnet.ndarray.image.to_tensor(data=None, out=None, name=None, **kwargs)Â¶","['Converts an image NDArray of shape (H x W x C) or (N x H x W x C)\nwith values in the range [0, 255] to a tensor NDArray of shape (C x H x W) or (N x C x H x W)\nwith values in the range [0, 1]', '\n', 'Example', '\n', 'Defined in src/operator/image/image_random.cc:L92', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.det(A=None, out=None, name=None, **kwargs)Â¶","['Compute the determinant of a matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', ', 'A', ' is a square matrix. We compute:', '\n', '\n', 'out', '\n', 'If ', 'n>2', ', ', 'det', ' is performed separately on the trailing two dimensions\nfor all inputs (batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', '\n', 'Note', '\n', 'There is no gradient backwarded when A is non-invertible (which is\nequivalent to det(A) = 0) because zero is rarely hit upon in float\npoint computation and the Jacobiâ\x80\x99s formula on determinant gradient\nis not computationally efficient when A is non-invertible.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L974', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.extractdiag(A=None, offset=_Null, out=None, name=None, **kwargs)Â¶","['Extracts the diagonal entries of a square matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', then ', 'A', ' represents a single square matrix which diagonal elements get extracted as a 1-dimensional tensor.', '\n', 'If ', 'n>2', ', then ', 'A', ' represents a batch of square matrices on the trailing two dimensions. The extracted diagonals are returned as an ', 'n-1', '-dimensional tensor.', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L494', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.extracttrian(A=None, offset=_Null, lower=_Null, out=None, name=None, **kwargs)Â¶","['Extracts a triangular sub-matrix from a square matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', then ', 'A', ' represents a single square matrix from which a triangular sub-matrix is extracted as a 1-dimensional tensor.', '\n', 'If ', 'n>2', ', then ', 'A', ' represents a batch of square matrices on the trailing two dimensions. The extracted triangular sub-matrices are returned as an ', 'n-1', '-dimensional tensor.', '\n', 'The ', 'offset', ' and ', 'lower', ' parameters determine the triangle to be extracted:', '\n', '\n', 'When ', '\n', 'When ', '\n', 'When ', '\n', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L604', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.gelqf(A=None, out=None, name=None, **kwargs)Â¶","['LQ factorization for general matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', we compute the LQ factorization (LAPACK ', 'gelqf', ', followed by ', 'orglq', '). ', 'A', '\nmust have shape ', '(x, y)', ' with ', 'x <= y', ', and must have full rank ', '=x', '. The LQ\nfactorization consists of ', 'L', ' with shape ', '(x, x)', ' and ', 'Q', ' with shape ', '(x, y)', ', so\nthat:', '\n', '\n', 'A', '\n', 'Here, ', 'L', ' is lower triangular (upper triangle equal to zero) with nonzero diagonal,\nand ', 'Q', ' is row-orthonormal, meaning that', '\n', '\n', 'Q', '\n', 'is equal to the identity matrix of shape ', '(x, x)', '.', '\n', 'If ', 'n>2', ', ', 'gelqf', ' is performed separately on the trailing two dimensions for all\ninputs (batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L797', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.gemm(A=None, B=None, C=None, transpose_a=_Null, transpose_b=_Null, alpha=_Null, beta=_Null, axis=_Null, out=None, name=None, **kwargs)Â¶","['Performs general matrix multiplication and accumulation.\nInput are tensors ', 'A', ', ', 'B', ', ', 'C', ', each of dimension ', 'n >= 2', ' and having the same shape\non the leading ', 'n-2', ' dimensions.', '\n', 'If ', 'n=2', ', the BLAS3 function ', 'gemm', ' is performed:', '\n', '\n', 'out', '\n', 'Here, ', 'alpha', ' and ', 'beta', ' are scalar parameters, and ', 'op()', ' is either the identity or\nmatrix transposition (depending on ', 'transpose_a', ', ', 'transpose_b', ').', '\n', 'If ', 'n>2', ', ', 'gemm', ' is performed separately for a batch of matrices. The column indices of the matrices\nare given by the last dimensions of the tensors, the row indices by the axis specified with the ', 'axis', '\nparameter. By default, the trailing two dimensions will be used for matrix encoding.', '\n', 'For a non-default axis parameter, the operation performed is equivalent to a series of swapaxes/gemm/swapaxes\ncalls. For example let ', 'A', ', ', 'B', ', ', 'C', ' be 5 dimensional tensors. Then gemm(', 'A', ', ', 'B', ', ', 'C', ', axis=1) is equivalent\nto the following without the overhead of the additional swapaxis operations:', '\n', None, '\n', '\n', 'When the input data is of type float32 and the environment variables MXNET_CUDA_ALLOW_TENSOR_CORE\nand MXNET_CUDA_TENSOR_OP_MATH_ALLOW_CONVERSION are set to 1, this operator will try to use\npseudo-float16 precision (float32 math with float16 I/O) precision in order to use\nTensor Cores on suitable NVIDIA GPUs. This can sometimes give significant speedups.', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L88', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.gemm2(A=None, B=None, transpose_a=_Null, transpose_b=_Null, alpha=_Null, axis=_Null, out=None, name=None, **kwargs)Â¶","['Performs general matrix multiplication.\nInput are tensors ', 'A', ', ', 'B', ', each of dimension ', 'n >= 2', ' and having the same shape\non the leading ', 'n-2', ' dimensions.', '\n', 'If ', 'n=2', ', the BLAS3 function ', 'gemm', ' is performed:', '\n', '\n', 'out', '\n', 'Here ', 'alpha', ' is a scalar parameter and ', 'op()', ' is either the identity or the matrix\ntransposition (depending on ', 'transpose_a', ', ', 'transpose_b', ').', '\n', 'If ', 'n>2', ', ', 'gemm', ' is performed separately for a batch of matrices. The column indices of the matrices\nare given by the last dimensions of the tensors, the row indices by the axis specified with the ', 'axis', '\nparameter. By default, the trailing two dimensions will be used for matrix encoding.', '\n', 'For a non-default axis parameter, the operation performed is equivalent to a series of swapaxes/gemm/swapaxes\ncalls. For example let ', 'A', ', ', 'B', ' be 5 dimensional tensors. Then gemm(', 'A', ', ', 'B', ', axis=1) is equivalent to\nthe following without the overhead of the additional swapaxis operations:', '\n', None, '\n', '\n', 'When the input data is of type float32 and the environment variables MXNET_CUDA_ALLOW_TENSOR_CORE\nand MXNET_CUDA_TENSOR_OP_MATH_ALLOW_CONVERSION are set to 1, this operator will try to use\npseudo-float16 precision (float32 math with float16 I/O) precision in order to use\nTensor Cores on suitable NVIDIA GPUs. This can sometimes give significant speedups.', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L162', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.inverse(A=None, out=None, name=None, **kwargs)Â¶","['Compute the inverse of a matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', ', 'A', ' is a square matrix. We compute:', '\n', '\n', 'out', '\n', 'If ', 'n>2', ', ', 'inverse', ' is performed separately on the trailing two dimensions\nfor all inputs (batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L919', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.makediag(A=None, offset=_Null, out=None, name=None, **kwargs)Â¶","['Constructs a square matrix with the input as diagonal.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 1', '.', '\n', 'If ', 'n=1', ', then ', 'A', ' represents the diagonal entries of a single square matrix. This matrix will be returned as a 2-dimensional tensor.\nIf ', 'n>1', ', then ', 'A', ' represents a batch of diagonals of square matrices. The batch of diagonal matrices will be returned as an ', 'n+1', '-dimensional tensor.', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L546', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.maketrian(A=None, offset=_Null, lower=_Null, out=None, name=None, **kwargs)Â¶","['Constructs a square matrix with the input representing a specific triangular sub-matrix.\nThis is basically the inverse of ', 'linalg.extracttrian', '. Input is a tensor ', 'A', ' of dimension ', 'n >= 1', '.', '\n', 'If ', 'n=1', ', then ', 'A', ' represents the entries of a triangular matrix which is lower triangular if ', 'offset<0', ' or ', 'offset=0', ', ', 'lower=true', '. The resulting matrix is derived by first constructing the square\nmatrix with the entries outside the triangle set to zero and then adding ', 'offset', '-times an additional\ndiagonal with zero entries to the square matrix.', '\n', 'If ', 'n>1', ', then ', 'A', ' represents a batch of triangular sub-matrices. The batch of corresponding square matrices is returned as an ', 'n+1', '-dimensional tensor.', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L672', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.potrf(A=None, out=None, name=None, **kwargs)Â¶","['Performs Cholesky factorization of a symmetric positive-definite matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', the Cholesky factor ', 'B', ' of the symmetric, positive definite matrix ', 'A', ' is\ncomputed. ', 'B', ' is triangular (entries of upper or lower triangle are all zero), has\npositive diagonal entries, and:', '\n', '\n', 'A', '\n', 'If ', 'n>2', ', ', 'potrf', ' is performed separately on the trailing two dimensions for all inputs\n(batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L213', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.potri(A=None, out=None, name=None, **kwargs)Â¶","['Performs matrix inversion from a Cholesky factorization.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', ', 'A', ' is a triangular matrix (entries of upper or lower triangle are all zero)\nwith positive diagonal. We compute:', '\n', '\n', 'out', '\n', 'In other words, if ', 'A', ' is the Cholesky factor of a symmetric positive definite matrix\n', 'B', ' (obtained by ', 'potrf', '), then', '\n', '\n', 'out', '\n', 'If ', 'n>2', ', ', 'potri', ' is performed separately on the trailing two dimensions for all inputs\n(batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', '\n', 'Note', '\n', 'Use this operator only if you are certain you need the inverse of ', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L274', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.slogdet(A=None, out=None, name=None, **kwargs)Â¶","['Compute the sign and log of the determinant of a matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', ', 'A', ' is a square matrix. We compute:', '\n', '\n', 'sign', '\n', 'If ', 'n>2', ', ', 'slogdet', ' is performed separately on the trailing two dimensions\nfor all inputs (batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', '\n', 'Note', '\n', 'The gradient is not properly defined on sign, so the gradient of\nit is not backwarded.', '\n', '\n', '\n', 'Note', '\n', 'No gradient is backwarded when A is non-invertible. Please see\nthe docs of operator det for detail.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L1033', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.sumlogdiag(A=None, out=None, name=None, **kwargs)Â¶","['Computes the sum of the logarithms of the diagonal elements of a square matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', ', 'A', ' must be square with positive diagonal entries. We sum the natural\nlogarithms of the diagonal elements, the result has shape (1,).', '\n', 'If ', 'n>2', ', ', 'sumlogdiag', ' is performed separately on the trailing two dimensions for all\ninputs (batch mode).', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L444', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.linalg.syevd(A=None, out=None, name=None, **kwargs)Â¶","['Eigendecomposition for symmetric matrix.\nInput is a tensor ', 'A', ' of dimension ', 'n >= 2', '.', '\n', 'If ', 'n=2', ', ', 'A', ' must be symmetric, of shape ', '(x, x)', '. We compute the eigendecomposition,\nresulting in the orthonormal matrix ', 'U', ' of eigenvectors, shape ', '(x, x)', ', and the\nvector ', 'L', ' of eigenvalues, shape ', '(x,)', ', so that:', '\n', '\n', 'U', '\n', 'Here:', '\n', '\n', 'U', '\n', 'where ', 'I', ' is the identity matrix. Also, ', 'L(0) <= L(1) <= L(2) <= â\x80¦', ' (ascending order).', '\n', 'If ', 'n>2', ', ', 'syevd', ' is performed separately on the trailing two dimensions of ', 'A', ' (batch\nmode). In this case, ', 'U', ' has ', 'n', ' dimensions like ', 'A', ', and ', 'L', ' has ', 'n-1', ' dimensions.', '\n', '\n', 'Note', '\n', 'The operator supports float32 and float64 data types only.', '\n', '\n', '\n', 'Note', '\n', 'Derivatives for this operator are defined only if ', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/la_op.cc:L867', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
