API,Description,Example1,Example2,,
"
 torch.cuda. set_per_process_memory_fraction ( fraction ,  device ) [source] ¶","Set memory fraction for a process.
The fraction is used to limit an caching allocator to allocated memory on a CUDA device.
The allowed value equals the total visible memory multiplied fraction.
If trying to allocate more than the allowed value in a process, will raise an out of
memory error in allocator. 
 Parameters 
 
 
 
 Note 
 In general, the total available free memory is less than the total capacity. 
",,,,
"
 torch.cuda. memory_cached ( device ) [source] ¶","Deprecated; see  memory_reserved() . 
 Return type 
 int 
",,,,
"
 torch.cuda. max_memory_cached ( device ) [source] ¶","Deprecated; see  max_memory_reserved() . 
 Return type 
 int 
",,,,
"
 torch.cuda. reset_max_memory_cached ( device ) [source] ¶","Resets the starting point in tracking maximum GPU memory managed by the
caching allocator for a given device. See  max_memory_cached()  for details. 
 Parameters 
 device 
 
 Warning 
 This function now calls  
 
 Note 
 See  
",,,,
"
 torch.cuda. reset_peak_memory_stats ( device ) [source] ¶","Resets the “peak” stats tracked by the CUDA memory allocator. See  memory_stats()  for details. Peak stats correspond to the
 “peak”  key in each individual stat dict. 
 Parameters 
 device 
 
 Note 
 See  
",,,,
"
 torch.cuda. caching_allocator_alloc ( size ,  device ,  stream ) [source] ¶","Performs a memory allocation using the CUDA memory allocator. Memory is allocated for a given device and a stream, this
function is intended to be used for interoperability with other
frameworks. Allocated memory is released through
 caching_allocator_delete() . 
 Parameters 
 
 
 
 Note 
 See  
",,,,
"
 torch.cuda. caching_allocator_delete ( mem_ptr ) [source] ¶","Deletes memory allocated using the CUDA memory allocator. Memory allocated with  caching_allocator_alloc() .
is freed here. The associated device and stream are tracked inside
the allocator. 
 Parameters 
 mem_ptr 
 
 Note 
 See  
",,,,
"
 torch.cuda.nvtx. mark ( msg ) [source] ¶","Describe an instantaneous event that occurred at some point. 
 Parameters 
 msg 
",,,,
"
 torch.cuda.nvtx. range_push ( msg ) [source] ¶","Pushes a range onto a stack of nested range span.  Returns zero-based
depth of the range that is started. 
 Parameters 
 msg 
",,,,
"
 torch.cuda.nvtx. range_pop ( ) [source] ¶","Pops a range off of a stack of nested range spans.  Returns the
zero-based depth of the range that is ended.",,,,
"
 torch.cuda.jiterator. _create_jit_fn ( code_string ,  ** ) [source] ¶","Create a jiterator-generated cuda kernel for an elementwise op. The code string has to be a valid CUDA function that describes the computation for a single element. The code
string has to follow the c++ template pattern, as shown in the example below. This function will be inlined
into elementwise kernel template, and compiled on the fly. Compiled kernel will be cached in memory, as well as
local temp dir. Jiterator-generated kernels accepts noncontiguous tensors, and supports boardcasting and type promotion. 
 Parameters 
 
 
 Return type 
 Callable 
 Example: 
 code_string also allows mulitple function definitions, and the last function will be treated as the entry function. Example: 
 Jiterator can be used together with python registration to override an operator’s cuda kernel.
Following example is overriding gelu’s cuda kernel with relu. Example: 
 
 Warning 
 This API is in beta and may change in future releases. 
 
 Warning 
 This API only supports up to 8 inputs and 1 output 
 
 Warning 
 All input tensors must live in CUDA device 
","code_string=""template <typename T> T my_kernel(T x, T y, T alpha) { return -x + alpha * y; }""
jitted_fn=create_jit_fn(code_string,alpha=1.0)
a=torch.rand(3,device='cuda')
b=torch.rand(3,device='cuda')
# invoke jitted function like a regular python function
result=jitted_fn(a,b,alpha=3.14)
","code_string=""template <typename T> T util_fn(T x, T y) { return ::sin(x) + ::cos(y); }""
code_string+=""template <typename T> T my_kernel(T x, T y, T val) { return ::min(val, util_fn(x, y)); }""
jitted_fn=create_jit_fn(code_string,val=0.0)
a=torch.rand(3,device='cuda')
b=torch.rand(3,device='cuda')
# invoke jitted function like a regular python function
result=jitted_fn(a,b)# using default val=0.0
","code_string=""template <typename T> T my_gelu(T a) { return a > 0 ? a : 0; }""
my_gelu=create_jit_fn(code_string)
my_lib=torch.library.Library(""aten"",""IMPL"")
my_lib.impl('aten::gelu',my_gelu,""CUDA"")
# torch.nn.GELU and torch.nn.function.gelu are now overridden
a=torch.rand(3,device='cuda')
torch.allclose(torch.nn.functional.gelu(a),torch.nn.functional.relu(a))
",
"
 torch.cuda.jiterator. _create_multi_output_jit_fn ( code_string ,  num_outputs ,  ** ) [source] ¶","Create a jiterator-generated cuda kernel for an elementwise op that supports returning one or more outputs. 
 Parameters 
 
 
 Return type 
 Callable 
 Example: 
 
 Warning 
 This API is in beta and may change in future releases. 
 
 Warning 
 This API only supports up to 8 inputs and 8 outputs 
","code_string=""template <typename T> void my_kernel(T x, T y, T alpha, T& out) { out = -x + alpha * y; }""
jitted_fn=create_jit_fn(code_string,alpha=1.0)
a=torch.rand(3,device='cuda')
b=torch.rand(3,device='cuda')
# invoke jitted function like a regular python function
result=jitted_fn(a,b,alpha=3.14)
",,,
"
 torch.linalg. inv_ex ( A ,  * ,  check_errors ,  out ) ¶","Computes the inverse of a square matrix if it is invertible. Returns a namedtuple  (inverse, .  inverse  contains the result of
inverting  A  and  info  stores the LAPACK error codes. If  A  is not an invertible matrix, or if it’s a batch of matrices
and one or more of them is not an invertible matrix,
then  info  stores a positive integer for the corresponding matrix.
The positive integer indicates the diagonal element of the LU decomposition of
the input matrix that is exactly zero.
 info  filled with zeros indicates that the inversion was successful.
If  check_errors=True  and  info  contains positive integers, then a RuntimeError is thrown. Supports input of float, double, cfloat and cdouble dtypes.
Also supports batches of matrices, and if  A  is a batch of matrices then
the output has the same batch dimensions. 
 Note 
 When the inputs are on a CUDA device, this function synchronizes only when  
 
 Warning 
 This function is “experimental” and it may change in a future PyTorch release. 
 
 See also 
 torch.linalg.inv() 
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Examples: 
",">>> A=torch.randn(3,3)
>>> Ainv,info=torch.linalg.inv_ex(A)
>>> torch.dist(torch.linalg.inv(A),Ainv)
tensor(0.)
>>> info
tensor(0, dtype=torch.int32)
",,,
"
 torch.linalg. cholesky ( A ,  * ,  upper ,  out )   → ¶","Computes the Cholesky decomposition of a complex Hermitian or real symmetric positive-definite matrix. Letting  K  be  R  or  C ,
the  Cholesky decomposition  of a complex Hermitian or real symmetric positive-definite matrix
 A  is defined as 
 A where  L  is a lower triangular matrix with real positive diagonal (even in the complex case) and
 L  is the conjugate transpose when  L  is complex, and the transpose when  L  is real-valued. Supports input of float, double, cfloat and cdouble dtypes.
Also supports batches of matrices, and if  A  is a batch of matrices then
the output has the same batch dimensions. 
 Note 
 When inputs are on a CUDA device, this function synchronizes that device with the CPU. 
 
 See also 
 torch.linalg.cholesky_ex() 
 torch.linalg.eigh() 
 
 Parameters 
 A 
 Keyword Arguments 
 
 
 Raises 
 RuntimeError 
 Examples: 
",">>> A=torch.randn(2,2,dtype=torch.complex128)
>>> A=A@A.T.conj()+torch.eye(2)# creates a Hermitian positive-definite matrix
>>> A
tensor([[2.5266+0.0000j, 1.9586-2.0626j],
        [1.9586+2.0626j, 9.4160+0.0000j]], dtype=torch.complex128)
>>> L=torch.linalg.cholesky(A)
>>> L
tensor([[1.5895+0.0000j, 0.0000+0.0000j],
        [1.2322+1.2976j, 2.4928+0.0000j]], dtype=torch.complex128)
>>> torch.dist(L@L.T.conj(),A)
tensor(4.4692e-16, dtype=torch.float64)>>> A=torch.randn(3,2,2,dtype=torch.float64)
>>> A=A@A.mT+torch.eye(2)# batch of symmetric positive-definite matrices
>>> L=torch.linalg.cholesky(A)
>>> torch.dist(L@L.mT,A)
tensor(5.8747e-16, dtype=torch.float64)
",,,
"
 torch.linalg. cholesky_ex ( A ,  * ,  upper ,  check_errors ,  out ) ¶","Computes the Cholesky decomposition of a complex Hermitian or real
symmetric positive-definite matrix. This function skips the (slow) error checking and error message construction
of  torch.linalg.cholesky() , instead directly returning the LAPACK
error codes as part of a named tuple  (L, . This makes this function
a faster way to check if a matrix is positive-definite, and it provides an
opportunity to handle decomposition errors more gracefully or performantly
than  torch.linalg.cholesky()  does. Supports input of float, double, cfloat and cdouble dtypes.
Also supports batches of matrices, and if  A  is a batch of matrices then
the output has the same batch dimensions. If  A  is not a Hermitian positive-definite matrix, or if it’s a batch of matrices
and one or more of them is not a Hermitian positive-definite matrix,
then  info  stores a positive integer for the corresponding matrix.
The positive integer indicates the order of the leading minor that is not positive-definite,
and the decomposition could not be completed.
 info  filled with zeros indicates that the decomposition was successful.
If  check_errors=True  and  info  contains positive integers, then a RuntimeError is thrown. 
 Note 
 When the inputs are on a CUDA device, this function synchronizes only when  
 
 Warning 
 This function is “experimental” and it may change in a future PyTorch release. 
 
 See also 
 torch.linalg.cholesky() 
 
 Parameters 
 A 
 Keyword Arguments 
 
 
 Examples: 
",">>> A=torch.randn(2,2,dtype=torch.complex128)
>>> A=A@A.t().conj()# creates a Hermitian positive-definite matrix
>>> L,info=torch.linalg.cholesky_ex(A)
>>> A
tensor([[ 2.3792+0.0000j, -0.9023+0.9831j],
        [-0.9023-0.9831j,  0.8757+0.0000j]], dtype=torch.complex128)
>>> L
tensor([[ 1.5425+0.0000j,  0.0000+0.0000j],
        [-0.5850-0.6374j,  0.3567+0.0000j]], dtype=torch.complex128)
>>> info
tensor(0, dtype=torch.int32)
",,,
"
 torch.linalg. lu ( A ,  * ,  pivot ,  out ) ¶","Computes the LU decomposition with partial pivoting of a matrix. Letting  K  be  R  or  C ,
the  LU decomposition with partial pivoting  of a matrix
 A  is defined as 
 A where  k = min(m,n) ,  P  is a  permutation matrix ,  L  is lower triangular with ones on the diagonal
and  U  is upper triangular. If  pivot = False  and  A  is on GPU, then the  LU decomposition without pivoting  is computed 
 A When  pivot = False , the returned matrix  P  will be empty.
The LU decomposition without pivoting  may not exist  if any of the principal minors of  A  is singular.
In this case, the output matrix may contain  inf  or  NaN . Supports input of float, double, cfloat and cdouble dtypes.
Also supports batches of matrices, and if  A  is a batch of matrices then
the output has the same batch dimensions. 
 See also 
 torch.linalg.solve() 
 
 Warning 
 The LU decomposition is almost never unique, as often there are different permutation
matrices that can yield different LU decompositions.
As such, different platforms, like SciPy, or inputs on different devices,
may produce different valid decompositions. 
 
 Warning 
 Gradient computations are only supported if the input matrix is full-rank.
If this condition is not met, no error will be thrown, but the gradient
may not be finite.
This is because the LU decomposition with pivoting is not differentiable at these points. 
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Returns 
 A named tuple  
 Examples: 
",">>> A=torch.randn(3,2)
>>> P,L,U=torch.linalg.lu(A)
>>> P
tensor([[0., 1., 0.],
        [0., 0., 1.],
        [1., 0., 0.]])
>>> L
tensor([[1.0000, 0.0000],
        [0.5007, 1.0000],
        [0.0633, 0.9755]])
>>> U
tensor([[0.3771, 0.0489],
        [0.0000, 0.9644]])
>>> torch.dist(A,P@L@U)
tensor(5.9605e-08)>>> A=torch.randn(2,5,7,device=""cuda"")
>>> P,L,U=torch.linalg.lu(A,pivot=False)
>>> P
tensor([], device='cuda:0')
>>> torch.dist(A,L@U)
tensor(1.0376e-06, device='cuda:0')
",,,
